Year,Month,Day,Country,State,Region,City,Latitude,Longitude,AttackType,Killed,Wounded,Target,Summary,Group,Target_type,Weapon_type
1970,1,1,United States,Illinois,North America,Cairo,37.005105,-89.176269,Armed Assault,0,0,Cairo Police Headquarters,"1/1/1970: Unknown African American assailants fired several bullets at police headquarters in Cairo, Illinois, United States.  There were no casualties, however, one bullet narrowly missed several police officers.  This attack took place during heightened racial tensions, including a Black boycott of White-owned businesses, in Cairo Illinois.",Black Nationalists,Police,Firearms
1970,1,2,United States,California,North America,Oakland,37.791927,-122.225906,Bombing/Explosion,0,0,Edes Substation,"1/2/1970: Unknown perpetrators detonated explosives at the Pacific Gas & Electric Company Edes substation in Oakland, California, United States.  Three transformers were damaged costing an estimated $20,000 to $25,000.  There were no casualties.",Unknown,Utilities,Explosives
1970,1,2,United States,Wisconsin,North America,Madison,43.076592,-89.412488,Facility/Infrastructure Attack,0,0,"R.O.T.C. offices at University of Wisconsin, Madison","1/2/1970: Karl Armstrong, a member of the New Years Gang, threw a firebomb at R.O.T.C. offices located within the Old Red Gym at the University of Wisconsin in Madison, Wisconsin, United States.  There were no casualties but the fire caused around $60,000 in damages to the building.",New Year's Gang,Military,Incendiary
1970,1,3,United States,Wisconsin,North America,Madison,43.07295,-89.386694,Facility/Infrastructure Attack,0,0,Selective Service Headquarters in Madison Wisconsin,"1/3/1970: Karl Armstrong, a member of the New Years Gang, broke into the University of Wisconsin's Primate Lab and set a fire on the first floor of the building.  Armstrong intended to set fire to the Madison, Wisconsin, United States, Selective Service Headquarters across the street but mistakenly confused the building with the Primate Lab.  The fire caused slight damages and was extinguished almost immediately.",New Year's Gang,Government (General),Incendiary
1970,1,1,United States,Wisconsin,North America,Baraboo,43.4685,-89.744299,Bombing/Explosion,0,0,Badger Army ammo depot.,,"Weather Underground, Weathermen",Military,Explosives
1970,1,6,United States,Colorado,North America,Denver,39.758968,-104.876305,Facility/Infrastructure Attack,0,0,"Army Recruiting Station, Denver Colorado","1/6/1970: Unknown perpetrators threw a Molotov cocktail into an Army Recruiting Station in Denver, Colorado, United States.  There were no casualties but damages to the station were estimated at $305.",Left-Wing Militants,Military,Incendiary
1970,1,9,United States,Michigan,North America,Detroit,42.331685,-83.047924,Facility/Infrastructure Attack,0,0,Packard Properties building of Detroit Michigan,"1/9/1970: Unknown perpetrators set off a firebomb at the Packard Properties building in Detroit, Michigan, United States.  The facility housed federal employees.  The building was damaged but there were no casualties.",Left-Wing Militants,Government (General),Incendiary
1970,1,9,United States,Puerto Rico,North America,Rio Piedras,18.386932,-66.061127,Facility/Infrastructure Attack,0,0,Baker's Store,"1/9/1970:  The Armed Commandos of Liberation claimed credit for setting a fire at the Baker's Store in Rio Piedras, Puerto Rico.  There were no casualties but the store was destroyed at a cost of $2,000,000.",Armed Commandos of Liberation,Business,Incendiary
1970,1,12,United States,New York,North America,New York City,40.697132,-73.931351,Bombing/Explosion,0,0,James Madison High School,"1/12/1970: Unknown perpetrators threw a pipe bomb into the vacant dean's office of James Madison High School in Brooklyn, New York, United States.  There were no casualties but the explosion caused minor damages.  Earlier in the day anti-war and pro-Black Panther statements were discovered painted outside the walls of the school.",Black Nationalists,Educational Institution,Explosives
1970,1,12,United States,Puerto Rico,North America,Rio Grande,18.379998,-65.830948,Bombing/Explosion,0,0,General Electric factory in Rio Grande Puerto Rico,"1/12/1970: Unknown perpetrators detonated a bomb at a General Electric factory in Rio Grande, Puerto Rico during a strike.  There were no casualties and it is unknown if the factory sustained any damages.",Strikers,Business,Explosives
