Year,Month,Day,Country,State,Region,City,Latitude,Longitude,AttackType,Killed,Wounded,Target,Summary,Group,Target_type,Weapon_type
1991,1,31,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Bombing/Explosion,0,0,"Residence, Japanese Ambassador Masaaki Noguchi",,Unknown,Government (Diplomatic),Explosives
1991,5,10,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Hijacking,0,0,2 car motorcade *,,Unknown,Government (Diplomatic),Firearms
1991,7,22,Yemen,Marib,Middle East & North Africa,Marib,15.45639,45.324871,Hostage Taking (Kidnapping),0,0,"U.S. National Employee, name not given",,Bedouin tribesmen,Business,Unknown
1991,9,0,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Assassination,1,2,Party leader Omar al-Jawi*,,Unknown,Government (General),Firearms
1991,11,18,Yemen,Marib,Middle East & North Africa,Marib,15.45639,45.324871,Armed Assault,0,0,Truck carrying employees,,Unknown,Business,Firearms
1992,2,6,Yemen,Unknown,Middle East & North Africa,Unknown,,,Assassination,1,0,Official,,Unknown,Government (General),Firearms
1992,2,7,Yemen,Unknown,Middle East & North Africa,Unknown,,,Assassination,2,0,Said Muhammed Al-Samawi and Ahmad Ali al-Bahri,,Unknown,Government (General),Unknown
1992,4,2,Yemen,Hadramawt,Middle East & North Africa,Wadi Masila,16.097964,49.52757,Hijacking,0,1,Vehicles *,,Unknown,Business,Unknown
1992,4,19,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Hostage Taking (Barricade Incident),0,0,Saudi Arabian Embassy,,Unknown,Government (Diplomatic),Explosives
1992,4,26,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Assassination,0,3,Justice Minister Abdul-Wasea Salaam  *,,Unknown,Government (General),Firearms
1992,5,9,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Bombing/Explosion,0,0,"Residence, Member Salim Salah Muhammad",,Unknown,Government (General),Explosives
1992,5,15,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Bombing/Explosion,0,0,"Residence, Prine Minister Haider Abu Bakr",,Unknown,Government (General),Explosives
1992,7,9,Yemen,Adan,Middle East & North Africa,Aden,12.852693,44.894836,Assassination,0,0,Party Leader Anis Hassan Yahya *,,Unknown,Government (General),Firearms
1992,7,26,Yemen,Marib,Middle East & North Africa,Marib,15.45639,45.324871,Hostage Taking (Kidnapping),0,0,4 U.S. and 2 Yemeni employees,,Unknown,Business,Firearms
1992,7,31,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Bombing/Explosion,0,0,"Residence, Mohammed Ali Haithem*",,Unknown,Private Citizens & Property,Explosives
1992,8,10,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Bombing/Explosion,0,0,"Residence, Supply and Trade Minister Fadhel Mohsin Abdullah",,Unknown,Government (General),Explosives
1992,8,21,Yemen,Amanat Al Asimah,Middle East & North Africa,Saana,15.325443,44.211895,Bombing/Explosion,0,0,"Residence, Yemen Parliamentary Speaker",,Muslim Militants,Government (General),Explosives
1992,8,26,Yemen,Marib,Middle East & North Africa,Marib,15.45639,45.324871,Armed Assault,12,11,Unit,,Faqra Tribal Group,Police,Firearms
1992,8,29,Yemen,Shabwah,Middle East & North Africa,Unknown,14.719504,46.868266,Assassination,1,0,Survey Chief (Egyptian National),,Unknown,Business,Melee
1992,9,17,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Bombing/Explosion,0,0,"Residence, Abdul Rahman al-Akwa'a, Deputy Information Minister",,Unknown,Government (General),Explosives
1992,9,17,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Bombing/Explosion,0,0,headquarters,,Unknown,Government (General),Explosives
1992,9,18,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Bombing/Explosion,0,0,"Residence, Colonel Mohammed Abdullah Saleh, Commander, Central Security*",,Unknown,Military,Explosives
1992,9,20,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Bombing/Explosion,0,0,"Residence, Kadi Abdul-Karim al-Ashi, member, Presidential Council",,Unknown,Government (General),Explosives
1992,9,20,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Bombing/Explosion,0,0,"residence, Yahya Hussein al-Arshi, Minister A State for Cabinet Affairs",,Unknown,Government (General),Explosives
1992,9,23,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Bombing/Explosion,0,0,U.S> embassy,,Unknown,Government (Diplomatic),Explosives
1992,11,9,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Bombing/Explosion,0,0,US Embassy,,Unknown,Government (Diplomatic),Explosives
1992,12,16,Yemen,Hadramawt,Middle East & North Africa,Rumah,17.456094,50.581538,Assassination,1,0,"Colonel Haithem Ali Mohsen Commander, Shallal Brigade",,Unknown,Military,Unknown
1992,12,29,Yemen,Adan,Middle East & North Africa,Aden,12.852693,44.894836,Bombing/Explosion,2,5,Gold Muhor Hotel,,Al-Qaida,Business,Explosives
1992,12,29,Yemen,Adan,Middle East & North Africa,Aden,12.852693,44.894836,Bombing/Explosion,1,1,Aden Movenpick Hotel,,Al-Qaida,Business,Explosives
1994,1,3,Yemen,Sanaa,Middle East & North Africa,Khaulan,15.174203,44.483566,Hostage Taking (Kidnapping),0,0,"Canadian, U.K. and Yemeni Employees",,Unknown,Business,Unknown
1994,1,6,Yemen,Lahij,Middle East & North Africa,Unknown,13.178143,44.632399,Assassination,5,0,"2 Majors, 3 Rank not stated",,Unknown,Military,Firearms
1994,1,7,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Assassination,1,0,"Member, Abdel-Karim Saleh",,Unknown,Government (General),Firearms
1994,1,9,Yemen,Adan,Middle East & North Africa,Aden,12.852693,44.894836,Armed Assault,0,0,"Residence, Vice President Ali Salim Al-Bid",,Unknown,Government (General),Firearms
1994,1,23,Yemen,Marib,Middle East & North Africa,Marib,15.45639,45.324871,Hostage Taking (Kidnapping),0,0,3 French Tourists,,Bani Nawaf tribe,Tourists,Unknown
1994,2,11,Yemen,Al Bayda,Middle East & North Africa,Unknown,13.976288,45.559999,Armed Assault,0,0,"Residence, Deputy Security Chief in al-Baidha Province",,Unknown,Police,Firearms
1994,2,11,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Assassination,1,0,Security Official Colonel Yahya al-Joubi,,Unknown,Government (General),Unknown
1994,2,12,Yemen,Marib,Middle East & North Africa,Unknown,15.423987,44.895143,Hostage Taking (Kidnapping),0,0,3 Chinese engineers working on Jihanah-Marib Road,,Unknown,Private Citizens & Property,Firearms
1994,2,15,Yemen,Sanaa,Middle East & North Africa,Bani al Harith,15.63005,44.163138,Assassination,1,0,Mahdi Mohammed Shubaih,,Unknown,Government (General),Unknown
1994,2,19,Yemen,Sanaa,Middle East & North Africa,Bani al Harith,15.63005,44.163138,Assassination,1,0,Abdul-hamid Ahmad(Massoud al-Serafi),,Unknown,Government (General),Unknown
1994,2,21,Yemen,Hadramawt,Middle East & North Africa,Al-Mukalla,14.54397,49.12458,Hijacking,2,0,"Vehicle carrying employee, driver and 2 guards",,Unknown,Business,Firearms
1994,3,15,Yemen,Amran,Middle East & North Africa,Amran,15.723047,43.957336,Assassination,0,0,Shaykh Husayn Adballah al-Ahmar,,Unknown,Government (General),Firearms
1994,3,27,Yemen,Amanat Al Asimah,Middle East & North Africa,Sanaa,15.325443,44.211895,Hostage Taking (Kidnapping),0,0,"Engineers Wilbert Elderhorst, Gerard Jeurissen and Jac van der Gun",,Unknown,Private Citizens & Property,Unknown
1994,4,3,Yemen,Sanaa,Middle East & North Africa,Jihanah,15.237025,44.487942,Hostage Taking (Kidnapping),0,0,2 Chinese Engineers,,Unknown,Private Citizens & Property,Unknown
