,Year,Country,Region,city,AttackType,Killed,Wounded,Target,Summary,Group,Target_type,Weapon_type,Motive
983,1996,Turkey,Middle East & North Africa,Trabzon,Hijacking,0,1.0,Ferry bound for Russia from Turkey,"1/16/1996-1/20/1996: Nine Chechen Rebels hijacked a ferry as it was about to leave from the port in Trabzon, Trabzon, Turkey.  The 199 hostages on board were aboard Russian ferry bound for Sochi in Russia.  The rebels demanded that Russian forces stop their assault on the town of Pervomayskaya.  The incident was resolved without any loss of life and only one hostage being slightly wounded.  Nine men, including the leader of the group (Mohammed Tokan) were arrested and convicted.  No information on where the incident ended was available.",Chechen Rebels,Unknown,Firearms,The group was protesting the on going assault on the Russian town of Pervomayskaya.  They demanded that the Russian government stop shelling the town.
1141,1998,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,8.0,Police Station in Istanbul,"02/27/1998: Eight policemen were injured in a grenade attack from unknown perpetrators on a police station in Istanbul, Turkey. Besides hurling two grenades, the three unidentified assailants opened fire on the station in the Gaziosmanpasa district of the city. There were no fatalities in the attack.",Unknown,Police,Explosives,Unknown
1226,1998,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,9.0,"Tourists at a park in Sultanahment District, Istanbul","04/10/1998: In Turkey, two members of the Kurdistan Workers' Party (PKK) threw a bomb into a park in Istanbul's tourist district, Sultanahment, while on a motorcycle. The explosion injured two Indian tourists, one New Zealander, four Turkish civilians, and two Turkish soldiers. Authorities arrested the two PKK perpetrators on April 12, 1998.",Kurdistan Workers' Party (PKK),Tourists,Explosives,Unknown
1285,1998,Turkey,Middle East & North Africa,Ankara,Assassination,0,1.0,"Akin Birdal, chairman of the Human Rights Association (IHD) in Ankara, Turkey","05/12/1198: An assassination attempt was made against Human Rights Association (IHD) leader Akin Birdal in Ankara, Turkey. Two assailants, Bahri Eken and K.D, were believed to be operating under the direction of alleged gang leader Mahmut Yildirim (aka:""Yesil""). The two assailants shot Mr. Birdal after meeting with him. Mr. Birdal survived the attack.",Unknown,NGO,Firearms,To disturb the public order and stability in Turkey.
1305,1998,Turkey,Middle East & North Africa,Kucukmece,Bombing/Explosion,0,6.0,"Fatih Coffeehouse in Kucukmece, Turkey","06/03/1998: Two unidentified male perpetrators threw a hand grenade at the Fatih Coffeehouse on Bayrampasa Cyprus Avenue in Kucukmece, Turkey. Six people were injured and the coffee house was damaged. Authorities suspected the involvement of the Kurdistan Workers' Party (PKK)  in this attack. In addition to this attack, another bombing took place on a suburban train going from Sirkeci to Halkali.",Kurdistan Workers' Party (PKK),Business,Explosives,Unknown
1306,1998,Turkey,Middle East & North Africa,Yesilkoy,Bombing/Explosion,1,4.0,Suburban train going from Sirkeci to Halkali,"06/03/1998: A bomb exploded during rush hour on a suburban train going from Sirkeci to Halkali in Yesilkoy, Turkey. The bomb exploded in the first railway car as the train approached the Yesilkoy Station, killing one person and injuring four. AAuthorities suspected the involvement of the Kurdistan Workers' Party (PKK)  in this attack. In addition to this attack, another bombing took place at a coffee shop in Kucukmece.",Kurdistan Workers' Party (PKK),Transportation,Explosives,Unknown
1509,1998,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,1.0,Building,"08/29/1998: A bomb placed at the Motherland Party (ANAP) Bakirkoy District Center in Istanbul, Turkey, went off, slightly wounding a woman working at the center. No one claimed responsibility for the attack.",Unknown,Violent Political Party,Explosives,Unknown
1525,1998,Turkey,Middle East & North Africa,Akdana,Armed Assault,1,2.0,Civilians in Akdana village,"09/12/1998: Unidentified perpetrators attacked villagers who were working in a field in Akdana Village of Agri Province in Turkey, killing one person and injuring two others. No group claimed responsibility for the attack.",Unknown,Private Citizens & Property,Firearms,Unknown
1536,1998,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,Istanbul Police Station,"09/19/1998: Revolutionary People's Liberation Party-Front (DHKP-C) rebels fired a rocket shell at a police station in Istanbul, Turkey, causing material damage in the building, but no casualties.",Devrimici Halk Kurtulus Cephesi (DHKP/C),Police,Explosives,Unknown
1566,1998,Turkey,Middle East & North Africa,Unknown,Armed Assault,2,0.0,"Two Policemen on Patrol in Tokat Province, Turkey","10/04/1998: A group of perpetrators attacked two policemen on patrol in Tokat Province, Turkey. The policemen were injured and the police car was destroyed. The Turkish Workers and Peasant Liberation Army (TKP/ML-TIKKO) was suspected in this incident.",Turkish Communist Party/Marxist (TKP-ML),Police,Firearms,Unknown
1644,1998,Turkey,Middle East & North Africa,Baykoy,Armed Assault,1,6.0,"Civilians in Baykoy, Turkey","10/29/1998: Rebels of the Kurdistan Workers' Party (PKK) attacked the village of Baykoy, Turkey, killing one person. Local military soldiers who attempted to thwart the attack hit a landmine and six soldiers were injured.",Kurdistan Workers' Party (PKK),Private Citizens & Property,Firearms,Unknown
1645,1998,Turkey,Middle East & North Africa,Ankara,Hijacking,1,0.0,"Turkish Airlines Flight in Ankara, Turkey","10/30/1998: An armed Kurdish militant hijacked an airplane in Ankara, Turkey. The plane was carrying 39 passengers and the hijacker demanded to fly to Switzerland. The pilot fooled the assailant into believing they had entered Bulgarian airspace and landed the plane at Ankara's Esenboga Airport. The plane was intercepted by local authorities and the assailant, a suspected member of the Kurdistan Workers' Party (PKK), was killed. The hijacker said he was acting to protest against Turkey's crackdown on Kurdish rebels.",Kurdistan Workers' Party (PKK),Airports & Aircraft,Firearms,To protest the government's crackdown on the Kurds.
1646,1998,Turkey,Middle East & North Africa,Resadiye District,Armed Assault,0,0.0,Ozturk Recreation Center in Turkey,"10/30/1998: One unidentified female and seven unidentified male perpetrators used firearms to attack the Ozturk recreation center near Resadiye District, Turkey. The assailants fired shots at gasoline pumps, causing a fire. There were no casualties, but the center sustained some fire damage.",Unknown,Business,Firearms,Unknown
1660,1998,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,2.0,"Prosecutor's office at the judicial headquarters in Istanbul, Turkey","11/05/1998: A bomb exploded outside a prosecutor's office at the judicial headquarters in Istanbul, Turkey, injuring two people. A woman called news outlets and claimed the attack on behalf of the Revolutionary People's Salvation Party-Front.",Devrimici Halk Kurtulus Cephesi (DHKP/C),Government (General),Explosives,The attack was carried out to avenge four comrades who allegedly disappeared in police custody earlier in the week.
1662,1998,Turkey,Middle East & North Africa,Dikbiyik,Facility/Infrastructure Attack,0,2.0,"Caf̩ in Samsun Province, Turkey","11/06/1998: Four unidentified attackers threw a Molotov cocktail at a cafe in Dikbiyik, Samsun Province, Turkey. An assailant and security official were injured in the attack.",Unknown,Business,Incendiary,Unknown
1676,1998,Turkey,Middle East & North Africa,Kizilsu,Armed Assault,6,7.0,Gabar Mountain village guards,"11/10/1998: Suspected separatist militants killed six village guards and wounded seven others in an ambush on the outskirts of Gabar Mountain in the Kizilsu region of Sirnak Province, Turkey.",Unknown,Police,Firearms,Unknown
1682,1998,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,"Yapi Kredi Bank in Eminonu District of Istanbul Province, Turkey","11/13/1998: Unidentified attackers threw a bomb at the Yapi Kredi Bank in the Eminonu District of Istanbul Province, Turkey. No casualties were reported, but the attack caused damage to the bank.",Unknown,Business,Explosives,Unknown
1692,1998,Turkey,Middle East & North Africa,Yuksekova district,Bombing/Explosion,1,5.0,Turkish Military Convoy at the Gendarmerie Command in Hakkari,"11/17/1998: A female Kurdistan Workers' Party (PKK) suicide bomber detonated explosives strapped to her body near a military convoy at the Gendarmerie Command in Hakkari's Yuksekova District, Turkey. Five people, including four non-commissioned officers and a child, were injured in the explosion. The bomb was made of TNT mixed with bullets.",Kurdistan Workers' Party (PKK),Military,Explosives,Unknown
1716,1998,Turkey,Middle East & North Africa,Kirikkale,Bombing/Explosion,4,20.0,"Passenger bus near Kirikkale, Turkey","11/27/1998: A bomb exploded on a bus near Kirikkale, Turkey. The explosion killed four passengers and injured 20 others. The bomb was placed in the luggage department of the bus. There was no claim of responsibility for this attack..",Unknown,Transportation,Explosives,Unknown
1723,1998,Turkey,Middle East & North Africa,Diyarbakir,Bombing/Explosion,1,8.0,"Civilians on Ataturk Street, in the Lice District, Diyarbakir, Turkey.","12/01/1998: An 18-year-old female detonated a hand grenade she was carrying near a store on Ataturk Street, in the Lice District of Diyarbakir, Turkey. The blast killed the female and wounded at least eight others. Reports did not indicate whether the woman was affiliated with a group.",Unknown,Business,Explosives,Unknown
1741,1998,Turkey,Middle East & North Africa,Van,Bombing/Explosion,2,22.0,"Military bus in Van, Turkey","12/24/1998: A female suicide bomber detonated a bomb in front of a military bus in Van, Turkey. The explosion damaged the bus, killed one and injured 22 others. Reports did not indicate whether the woman was a member of a group.",Unknown,Military,Explosives,Unknown
1773,1999,Turkey,Middle East & North Africa,Uskudar,Bombing/Explosion,0,7.0,"MHP (Nationalist Action Party) election bureau in Uskudar, Turkey","01/12/1999: Perpetrators threw a hand grenade at the MHP (Nationalist Action Party) election bureau in Uskudar, Turkey, injuring seven people. No organization claimed responsibility for the explosion, but on January 22, 1999 police reported the capture of Baki Alparslan, age 37, and Nazmi Gur, age 21, whom they claimed were responsible for the attack. Reports further stated that the perpetrators were part of an unnamed ""separatist terrorist organization.""",Separatists,Government (General),Explosives,Unknown
1848,1999,Turkey,Middle East & North Africa,Bursa,Bombing/Explosion,0,0.0,"Democratic Left Party Headquarters in Bursa, Turkey","03/01/1999: Molotov cocktails were thrown at the Democratic Left Party headquarters in Bursa, Turkey, causing a fire, but no casualties. Supporters of the Kurdistan Workers' Party (PKK) were suspected in the attack.",Kurdistan Workers' Party (PKK),Government (General),Incendiary,Unknown
1853,1999,Turkey,Middle East & North Africa,Seyhan District,Armed Assault,1,5.0,Turkish Army patrol,"03/02/1999: Suspected members of the Kurdistan Workers' Party (PKK) attacked a Turkish Army patrol in the Seyhan District of Adana Province, Turkey, killing one and injuring five.",Kurdistan Workers' Party (PKK),Military,Firearms,Unknown
1857,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,Car in parking lot of Directorate General of Monopoly offices,"03/03/1999: Unidentified assailants threw Molotov cocktails at a car in the parking lot of the Directorate General of Monopoly in the Unkapani district of Istanbul, Turkey. The car and offices were damaged in the attack.",Unknown,Government (General),Incendiary,Unknown
1859,1999,Turkey,Middle East & North Africa,Istanbul,Bombing/Explosion,0,0.0,"Civilian car  in Zeytinburnu district in Istanbul, Turkey","03/03/1999: Unidentified perpetrators threw a Molotov cocktail at a car in Zeytinburnu district, Istanbul, Turkey.",Unknown,Private Citizens & Property,Incendiary,Unknown
